time,half,normand,stull,third
2017-08-25 04:54:00,14.14,13.939036668196145,13.781938289595061,14.426666666666666
2017-08-25 05:54:00,13.835,13.70743090983427,13.580359516808702,14.02
2017-08-25 06:54:00,13.835,13.707404650495102,13.580359516808702,14.02
2017-08-25 07:54:00,13.585,13.40866246481975,13.248338945587271,13.853333333333333
2017-08-25 08:54:00,13.585,13.408548073380762,13.248338945587271,13.853333333333333
2017-08-25 09:54:00,13.055,12.884969893511434,12.716336569862708,13.333333333333332
2017-08-25 10:54:00,13.335,13.215100698552,13.08217164569809,13.52
2017-08-25 11:54:00,13.055,12.884770998675227,12.716336569862708,13.333333333333332
2017-08-25 12:54:00,12.75,12.64408804555786,12.51083080516673,12.926666666666666
2017-08-25 13:54:00,12.25,12.15181740218764,12.011286894211452,12.426666666666666
2017-08-25 14:54:00,12.5,12.445112969238505,12.349512908162811,12.593333333333334
2017-08-25 15:54:00,13.03,12.977088971494096,12.888680692288297,13.113333333333332
2017-08-25 16:54:00,13.89,13.64274269119017,13.459548182397135,14.26
2017-08-25 17:54:00,13.305,13.080978414196244,12.892387822378382,13.666666666666668
2017-08-25 18:54:00,13.89,13.642794926561976,13.459548182397135,14.26
2017-08-25 19:54:00,14.75,14.289614448341192,14.094855465649548,15.406666666666665
2017-08-25 20:54:00,15.25,14.762434993061191,14.58089996815292,15.906666666666665
2017-08-25 21:54:00,14.75,14.289249698952219,14.094855465649548,15.406666666666665
2017-08-25 22:54:00,15.25,14.76198166807178,14.58089996815292,15.906666666666665
2017-08-25 23:54:00,15.0,14.579171279947689,14.393007071830265,15.57333333333333
2017-08-26 00:54:00,14.445,14.061726627962987,13.864188515957945,14.999999999999998
2017-08-26 01:54:00,13.89,13.642376928273324,13.459548182397135,14.26
2017-08-26 02:54:00,13.835,13.707325860207057,13.580359516808702,14.02
2017-08-26 03:54:00,13.335,13.21523279882608,13.08217164569809,13.52
2017-08-26 04:54:00,13.585,13.515871048655573,13.423478679957054,13.686666666666666
2017-08-26 05:54:00,13.03,12.97707700382586,12.888680692288297,13.113333333333332
